Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),"Precipitation ("")","Total Snow Depth ("")","24 Hour Snow ("")"
2016-12-31 23:00,13.3,26.35,96.1,0.04,64.69,2.386
2016-12-31 22:00,13.3,26.72,95.8,0.03,66.49,1.787
2016-12-31 21:00,13.3,27.33,97.5,0.06,64.29,1.521
2016-12-31 20:00,13.3,26.84,96.4,0.04,64.76,1.121
2016-12-31 19:00,13.3,26.11,96.3,0.05,64.49,0.922
2016-12-31 18:00,13.3,25.99,96.2,0.02,62.83,0.456
2016-12-31 17:00,13.3,25.62,96.4,0.01,63.36,0.589
2016-12-31 16:00,13.3,27.08,89.3,0.0,63.7,0.722
2016-12-31 15:00,13.3,26.59,90.9,0.0,63.5,0.522
2016-12-31 14:00,13.3,25.99,86.3,0.0,63.5,0.456
2016-12-31 13:00,13.3,25.87,87.2,0.0,63.43,0.323
2016-12-31 12:00,13.3,26.36,87.0,0.0,63.27,0.45
2016-12-31 11:00,13.3,24.29,90.4,0.0,63.53,0.449
2016-12-31 10:00,13.3,22.35,90.7,0.0,63.7,0.312
2016-12-31 09:00,13.3,21.99,92.4,0.0,63.7,0.445
2016-12-31 08:00,13.3,20.65,94.7,0.0,63.7,0.445
2016-12-31 07:00,13.3,20.04,94.6,0.0,63.84,0.445
2016-12-31 06:00,13.3,18.58,95.0,0.0,63.74,0.573
2016-12-31 05:00,13.3,17.86,95.4,0.0,64.14,0.572
2016-12-31 04:00,13.3,17.97,93.9,0.0,64.17,0.511
2016-12-31 03:00,13.3,18.7,95.2,0.0,63.9,0.511
2016-12-31 02:00,13.3,20.41,93.5,0.0,63.9,0.511
2016-12-31 01:00,13.3,20.53,95.0,0.0,64.7,0.511
2016-12-31 00:00,13.3,20.16,94.9,0.0,64.3,0.644
2016-12-30 23:00,13.3,21.98,93.9,0.0,64.66,0.516
2016-12-30 22:00,13.3,22.59,94.4,0.0,64.86,0.517
2016-12-30 21:00,13.3,24.28,92.9,0.0,63.63,0.655
2016-12-30 20:00,13.3,26.11,94.3,0.0,63.5,0.522
2016-12-30 19:00,13.3,26.23,95.4,0.0,63.5,0.522
2016-12-30 18:00,13.3,27.2,95.7,0.0,63.1,0.522
2016-12-30 17:00,13.29,27.93,91.9,0.0,62.98,0.525
2016-12-30 16:00,13.29,29.02,95.9,0.0,62.79,0.461
2016-12-30 15:00,13.29,30.84,90.3,0.0,62.46,0.528
2016-12-30 14:00,13.29,30.24,86.8,0.0,63.32,0.527
2016-12-30 13:00,13.29,29.26,89.0,0.0,64.93,0.595
2016-12-30 12:00,13.29,30.96,91.7,0.0,64.74,0.399
2016-12-30 11:00,13.29,31.33,92.2,0.0,64.99,0.728
