Date/Time (PST),Battery Voltage (v),Temperature (deg F),Relative Humidity (%),"Precipitation ("")","Total Snow Depth ("")","24 Hour Snow ("")"
2018-12-31 23:00,13.01,20.92,94.9,0,47.54,0.084
2018-12-31 22:00,13.01,19.07,95,0,47.81,0.084
2018-12-31 21:00,13.01,18.64,94.3,0,47.81,0.084
2018-12-31 20:00,13.01,19.38,94.7,0,47.81,-0.048
2018-12-31 19:00,13.01,19.55,94.8,0,47.81,-0.041
2018-12-31 18:00,13.1,20.79,94.4,0,44.6,-0.043
2018-12-31 17:00,13.38,21.89,93.7,0,46.65,-0.036
2018-12-31 16:00,13.74,24.66,89.6,0,46.52,-0.033
2018-12-31 15:00,14.26,31.49,73.49,0,46.68,-0.231
2018-12-31 14:00,14.28,35.38,77.77,0,47.62,-0.231
2018-12-31 13:00,13.93,35.01,79.76,0,47.35,-0.096
2018-12-31 12:00,13.3,33.85,77.65,0,47.59,-0.306
2018-12-31 11:00,13.01,28.85,89.4,0,48.4,-0.238
2018-12-31 10:00,13.01,25.54,92.8,0,49.32,-0.11
2018-12-31 09:00,13.01,22.45,93.6,0,50.46,-0.043
2018-12-31 08:00,13.01,21.65,94.1,0,50.54,-0.042
2018-12-31 07:00,13.01,21.65,94.5,0,49.72,-0.044
2018-12-31 06:00,13.01,22.7,94.9,0,50.13,-0.044
2018-12-31 05:00,13.01,20.79,94.3,0,50.54,2.115
2018-12-31 04:00,13.01,18.94,94.1,0,51.21,1.98
2018-12-31 03:00,13.01,23,95.2,0,50.75,1.983
2018-12-31 02:00,13.01,25.23,95.4,0,49.52,1.982
2018-12-31 01:00,13.01,25.41,96.2,0,48.79,2.05
2018-12-31 00:00,13.01,24.85,96.6,0,51.1,2.122
2018-12-30 23:00,13.01,27.38,96.5,0,49.35,1.987
2018-12-30 22:00,13.01,28.48,96.6,0,48.87,2.257
2018-12-30 21:00,13.01,28.79,96.2,0,48.87,2.257
2018-12-30 20:00,13.01,28.79,95.9,0,48.87,2.324
2018-12-30 19:00,13.01,28.61,96.1,0,48.87,2.324
2018-12-30 18:00,13.01,28.67,95.6,0,48.87,2.324
2018-12-30 17:00,13.01,28.79,93.5,0.02,49.35,2.324
2018-12-30 16:00,13.01,29.9,95,0.05,49.35,1.987
2018-12-30 15:00,13.01,32.99,90.8,0.03,49.35,1.447
2018-12-30 14:00,13.01,32.12,89.7,0.01,50.42,1.582
2018-12-30 13:00,13.01,33.48,91.5,0.02,49.35,1.38
2018-12-30 12:00,13.01,32.68,93.2,0.03,49.35,1.38
2018-12-30 11:00,13.01,32.37,94,0.08,49.35,1.178
2018-12-30 10:00,13.01,31.2,94.3,0.02,48.4,0.638
